Start,Stop,Line_ID,Color_ID,geometry
Wittenbergplatz,Nollendorfplatz,U2,red,"LINESTRING(13.343056 52.502944, 13.353889 52.500167)"
Nollendorfplatz,Bülowstraße,U2,red,"LINESTRING(13.353889 52.500167, 13.362287 52.497701)"
Bülowstraße,Gleisdreieck,U2,red,"LINESTRING(13.362287 52.497701, 13.375278 52.499333)"
Gleisdreieck,Mendelssohn-Bartholdy-Park,U2,red,"LINESTRING(13.375278 52.499333, 13.375 52.503889)"
Mendelssohn-Bartholdy-Park,Postdamer Platz,U2,red,"LINESTRING(13.375 52.503889, 13.375833 52.509444)"
Postdamer Platz,Mohrenstraße,U2,red,"LINESTRING(13.375833 52.509444, 13.384722 52.511667)"
Mohrenstraße,Stadtmitte,U2,red,"LINESTRING(13.384722 52.511667, 13.389444 52.512222)"
Stadtmitte,Hausvogteiplatz,U2,red,"LINESTRING(13.389444 52.512222, 13.396667 52.513056)"
Hausvogteiplatz,Spittelmarkt,U2,red,"LINESTRING(13.396667 52.513056, 13.403611 52.511111)"
Spittelmarkt,Märkisches Museum,U2,red,"LINESTRING(13.403611 52.511111, 13.408889 52.511944)"
Märkisches Museum,Klosterstraße,U2,red,"LINESTRING(13.408889 52.511944, 13.412222 52.516111)"
Klosterstraße,Alexanderplatz,U2,red,"LINESTRING(13.412222 52.516111, 13.411944 52.521389)"
Alexanderplatz,Rosa-Luxemburg-Platz,U2,red,"LINESTRING(13.411944 52.521389, 13.410556 52.5275)"
Rosa-Luxemburg-Platz,Senefelderplatz,U2,red,"LINESTRING(13.410556 52.5275, 13.4125 52.532222)"
Senefelderplatz,Eberswalder Straße,U2,red,"LINESTRING(13.4125 52.532222,13.412222 52.541944)"
Eberswalder Straße,Schönhauser Allee,U2,red,"LINESTRING(13.412222 52.541944, 13.413889 52.549444)"
Schönhauser Allee,Vinetastraße,U2,red,"LINESTRING(13.413889 52.549444, 13.413333 52.559444)"
Vinetastraße,Pankow,U2,red,"LINESTRING(13.413333 52.559444, 13.411111 52.566667)"
Krumme Lanke,Onkel Toms Hütte,U3,forestgreen,"LINESTRING(13.241111 52.443333, 13.253333 52.450278)"
Onkel Toms Hütte,Oskar-Helene-Heim,U3,forestgreen,"LINESTRING(13.253333 52.450278, 13.266111 52.450278)"
Oskar-Helene-Heim,Freie Universität (Thielplatz),U3,forestgreen,"LINESTRING(13.266111 52.450278, 13.281944 52.451111)"
Freie Universität (Thielplatz),Dahlem-Dorf,U3,forestgreen,"LINESTRING(13.281944 52.451111, 13.289722 52.4575)"
Dahlem-Dorf,Podbielskiallee,U3,forestgreen,"LINESTRING(13.289722 52.4575, 13.295833 52.464167)"
Podbielskiallee,Breitenbachplatz,U3,forestgreen,"LINESTRING(13.295833 52.464167, 13.308611 52.466944)"
Breitenbachplatz,Rüdesheimer Platz,U3,forestgreen,"LINESTRING(13.308611 52.466944, 13.314444 52.473333)"
Rüdesheimer Platz,Heidelberger Platz,U3,forestgreen,"LINESTRING(13.314444 52.473333, 13.3125 52.480278)"
Heidelberger Platz,Fehrbelliner Platz,U3,forestgreen,"LINESTRING(13.3125 52.480278, 13.314444 52.490556)"
Fehrbelliner Platz,Hohenzollernplatz,U3,forestgreen,"LINESTRING(13.314444 52.490556, 13.324722 52.494167)"
Hohenzollernplatz,Spichernstraße,U3,forestgreen,"LINESTRING(13.324722 52.494167, 13.331111 52.496667)"
Spichernstraße,Augsburger Straße,U3,forestgreen,"LINESTRING(13.331111 52.496667, 13.336667 52.500556)"
Augsburger Straße,Wittenbergplatz,U3,forestgreen,"LINESTRING(13.336667 52.500556, 13.343056 52.500944)"
Wittenbergplatz,Nollendorfplatz,U3,forestgreen,"LINESTRING(13.343056 52.500944, 13.353889 52.498167)"
Nollendorfplatz,Kurfürstenstraße,U3,forestgreen,"LINESTRING(13.353889 52.498167, 13.361944 52.499)"
Kurfürstenstraße,Gleisdreieck,U3,forestgreen,"LINESTRING(13.361944 52.499, 13.375278 52.497333)"
Gleisdreieck,Möckernbrücke,U3,forestgreen,"LINESTRING(13.375278 52.497333, 13.382778 52.498167)"
Möckernbrücke,Hallesches Tor,U3,forestgreen,"LINESTRING(13.382778 52.498167, 13.391111 52.496778)"
Hallesches Tor,Prinzenstraße,U3,forestgreen,"LINESTRING(13.391111 52.496778, 13.406111 52.497333)"
Prinzenstraße,Kottbusser Tor,U3,forestgreen,"LINESTRING(13.406111 52.497333, 13.418056 52.498167)"
Kottbusser Tor,Görlitzer Bahnhof,U3,forestgreen,"LINESTRING(13.418056 52.498167, 13.428 52.498)"
Görlitzer Bahnhof,Schlesisches Tor,U3,forestgreen,"LINESTRING(13.428 52.498, 13.441667 52.499833)"
Schlesisches Tor,Warschauer Straße,U3,forestgreen,"LINESTRING(13.441667 52.499833, 13.4491 52.5041)"
Innsbrucker Platz,Rathaus Schöneberg,U4,yellow,"LINESTRING(13.343889 52.478611, 13.341944 52.483056)"
Rathaus Schöneberg,Bayerischer Platz,U4,yellow,"LINESTRING(13.341944 52.483056, 13.34 52.488611)"
Bayerischer Platz,Viktoria-Luise-Platz,U4,yellow,"LINESTRING(13.34 52.488611, 13.342778 52.496111)"
Viktoria-Luise-Platz,Nollendorfplatz,U4,yellow,"LINESTRING(13.342778 52.496111, 13.353889 52.498167)"
Hönow,Louis-Lewin-Straße,U5,brown,"LINESTRING(13.633889 52.538333, 13.618333 52.538889)"
Louis-Lewin-Straße,Hellersdorf,U5,brown,"LINESTRING(13.618333 52.538889, 13.606389 52.536667)"
Hellersdorf,Cottbusser Platz,U5,brown,"LINESTRING(13.606389 52.536667, 13.596389 52.533889)"
Cottbusser Platz,Kienberg (Gärten der Welt),U5,brown,"LINESTRING(13.596389 52.533889, 13.590556 52.528611)"
Kienberg (Gärten der Welt),Kaulsdorf-Nord,U5,brown,"LINESTRING(13.590556 52.528611, 13.588889 52.521111)"
Kaulsdorf-Nord,Wuhletal,U5,brown,"LINESTRING(13.588889 52.521111, 13.575 52.5125)"
Wuhletal,Elsterwerdaer Platz,U5,brown,"LINESTRING(13.575 52.5125, 13.560556 52.505556)"
Elsterwerdaer Platz,Biesdorf-Süd,U5,brown,"LINESTRING(13.560556 52.505556, 13.546389 52.499722)"
Biesdorf-Süd,Tierpark,U5,brown,"LINESTRING(13.546389 52.499722, 13.522778 52.498056)"
Tierpark,Friedrichsfelde,U5,brown,"LINESTRING(13.522778 52.498056, 13.512778 52.506111)"
Friedrichsfelde,Lichtenberg,U5,brown,"LINESTRING(13.512778 52.506111, 13.496389 52.510556)"
Lichtenberg,Magdalenenstraße,U5,brown,"LINESTRING(13.496389 52.510556, 13.486389 52.5125)"
Magdalenenstraße,Frankfurter Allee,U5,brown,"LINESTRING(13.486389 52.5125, 13.474722 52.514167)"
Frankfurter Allee,Samariterstraße,U5,brown,"LINESTRING(13.474722 52.514167, 13.464444 52.514722)"
Samariterstraße,Frankfurter Tor,U5,brown,"LINESTRING( 13.464444 52.514722, 13.454167 52.515833)"
Frankfurter Tor,Weberwiese,U5,brown,"LINESTRING( 13.454167 52.515833, 13.445 52.516667)"
Weberwiese,Strausberger Platz,U5,brown,"LINESTRING( 13.445 52.516667, 13.430833 52.518056)"
Strausberger Platz,Schillingstraße,U5,brown,"LINESTRING( 13.430833 52.518056, 13.421111 52.520556)"
Schillingstraße,Alexanderplatz,U5,brown,"LINESTRING(13.421111 52.520556, 13.411944 52.521389)"
Alexanderplatz,Rotes Rathaus,U5,brown,"LINESTRING(13.411944 52.521389, 13.408056 52.518889)"
Rotes Rathaus,Museumsinsel,U5,brown,"LINESTRING(13.408056 52.518889, 13.398203  52.517403)"
Museumsinsel,Unter den Linden,U5,brown,"LINESTRING(13.398203  52.517403, 13.3889 52.517)"
Unter den Linden,Brandenburger Tor,U5,brown,"LINESTRING(13.3889 52.517, 13.380833 52.516389)"
Brandenburger Tor,Bundestag,U5,brown,"LINESTRING(13.380833 52.516389, 13.373006 52.520014)"
Bundestag,Hauptbahnhof,U5,brown,"LINESTRING(13.373006 52.520014, 13.369444 52.525)"
Alt-Tegel,Borsigwerke,U6,purple,"LINESTRING(13.283611 52.589444, 13.290556 52.581667)"
Borsigwerke,Holzhauser Straße,U6,purple,"LINESTRING(13.290556 52.581667, 13.296111 52.575833)"
Holzhauser Straße,Otisstraße ,U6,purple,"LINESTRING(13.296111 52.575833, 13.302778 52.571111)"
Otisstraße ,Scharnweberstraße,U6,purple,"LINESTRING(13.302778 52.571111, 13.312778 52.566944)"
Scharnweberstraße,Kurt-Schumacher-Platz,U6,purple,"LINESTRING(13.312778 52.566944, 13.3275 52.563333)"
Kurt-Schumacher-Platz,Afrikanische Straße,U6,purple,"LINESTRING(13.3275 52.563333, 13.334722 52.560278)"
Afrikanische Straße,Rehberge,U6,purple,"LINESTRING(13.334722 52.560278, 13.341 52.557)"
Rehberge,Seestraße,U6,purple,"LINESTRING(13.341 52.557, 13.347 52.548)"
Seestraße,Leopoldplatz,U6,purple,"LINESTRING(13.347 52.548, 13.359167 52.546667)"
Leopoldplatz,Wedding,U6,purple,"LINESTRING(13.359167 52.546667, 13.366111 52.5425)"
Wedding,Reinickendorfer Straße,U6,purple,"LINESTRING(13.366111 52.5425, 13.370278 52.54)"
Reinickendorfer Straße,Schwartzkopffstraße,U6,purple,"LINESTRING(13.370278 52.54, 13.377222  52.535278)"
Schwartzkopffstraße,Naturkundemuseum,U6,purple,"LINESTRING(13.377222  52.535278, 13.3825 52.531111)"
Naturkundemuseum,Oranienburger Tor,U6,purple,"LINESTRING(13.3825 52.531111, 13.387222 52.525556)"
Oranienburger Tor,Friedrichstraße,U6,purple,"LINESTRING(13.387222 52.525556, 13.386944 52.520278)"
Friedrichstraße,Unter den Linden,U6,purple,"LINESTRING(13.386944 52.520278, 13.3889  52.517)"
Unter den Linden,Stadtmitte,U6,purple,"LINESTRING(13.3889  52.517, 13.389444 52.512222)"
Stadtmitte,Kochstraße (Checkpoint Charlie),U6,purple,"LINESTRING(13.389444 52.512222, 13.390556 52.505833)"
Kochstraße (Checkpoint Charlie),Hallesches Tor,U6,purple,"LINESTRING(13.390556 52.505833, 13.391111 52.497778)"
Hallesches Tor,Mehringdamm,U6,purple,"LINESTRING(13.391111 52.497778, 13.388611 52.494444)"
Mehringdamm,Platz der Luftbrücke,U6,purple,"LINESTRING(13.388611 52.494444, 13.385833 52.485556)"
Platz der Luftbrücke,Paradestraße,U6,purple,"LINESTRING(13.385833 52.485556, 13.386111 52.478056)"
Paradestraße,Tempelhof,U6,purple,"LINESTRING(13.386111 52.478056, 13.38535 52.470756)"
Tempelhof ,Alt-Tempelhof,U6,purple,"LINESTRING(13.38535 52.470756, 13.385556  52.465833)"
Alt-Tempelhof,Kaiserin-Augusta-Straße,U6,purple,"LINESTRING(13.385556  52.465833, 13.384722 52.46)"
Kaiserin-Augusta-Straße,Ullsteinstraße,U6,purple,"LINESTRING(13.384722 52.46, 13.384444 52.453889)"
Ullsteinstraße,Westphalweg,U6,purple,"LINESTRING(13.384444 52.453889, 13.386 52.446)"
Westphalweg,Alt-Mariendorf,U6,purple,"LINESTRING(13.386 52.446, 13.3875 52.439722)"
Rathaus Spandau,Altstadt Spandau,U7,lightblue,"LINESTRING(13.200278 52.535, 13.206389 52.538889)"
Altstadt Spandau,Zitadelle,U7,lightblue,"LINESTRING(13.206389 52.538889, 13.217778 52.537778)"
Zitadelle,Haselhorst,U7,lightblue,"LINESTRING(13.217778 52.537778, 13.232778 52.538889)"
Haselhorst,Paulsternstraße,U7,lightblue,"LINESTRING(13.232778 52.538889, 13.247778 52.538056)"
Paulsternstraße,Rohrdamm,U7,lightblue,"LINESTRING(13.247778 52.538056, 13.2625 52.537222)"
Rohrdamm,Siemensdamm,U7,lightblue,"LINESTRING(13.2625 52.537222, 13.273056 52.536667)"
Siemensdamm,Halemweg,U7,lightblue,"LINESTRING(13.273056 52.536667, 13.28638 52.536667)"
Halemweg,Jakob-Kaiser-Platz,U7,lightblue,"LINESTRING(13.28638 52.536667, 13.293611  52.534444)"
Jakob-Kaiser-Platz,Jungfernheide,U7,lightblue,"LINESTRING(13.293611  52.534444, 13.299 52.53)"
Jungfernheide,Mierendorffplatz,U7,lightblue,"LINESTRING(13.299 52.53, 13.305 52.526389)"
Mierendorffplatz,Richard-Wagner-Platz,U7,lightblue,"LINESTRING(13.305 52.526389, 13.306667  52.516944)"
Richard-Wagner-Platz,Bismarckstraße,U7,lightblue,"LINESTRING(13.306667  52.516944, 13.304722 52.511389)"
Bismarckstraße,Wilmersdorfer Straße,U7,lightblue,"LINESTRING(13.304722 52.511389, 13.306944 52.506389)"
Wilmersdorfer Straße,Adenauerplatz,U7,lightblue,"LINESTRING(13.306944 52.506389, 13.307222 52.5)"
Adenauerplatz,Konstanzer Straße,U7,lightblue,"LINESTRING(13.307222 52.5, 13.309444 52.494167)"
